Nombre del Programa,Tipo de Programa,Escuela,Campus,Duración,Periodo,Plan de Estudios
Data Science and AI: Del Concepto a Desarrollo de Aplicaciones,Diplomado,Posgrados y Educacion Continua,Live,120 horas,Mensual,o
Decisiones Estratégicas en el Retail,Diplomado,Posgrados y Educacion Continua,Aula Virtual,128 horas,Mensual,o
Decoración e Interiorismo,Diplomado,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual,o
Derecho Coorporativo,Diplomado,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual,o
Derecho Fiscal,Diplomado,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual,o
Desarrollo de Competencias Generales,Diplomado,Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual,o
Desarrollo de Habilidades en Contabilidad; Impuestos y Finanzas,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual,o
Desarrollo de Habilidades para Gerentes y Ejecutivos de Ventas,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual,o
Desarrollo de Vendedores de Alto Potencial,Diplomado,Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual,o
Despliegue de Modelos de Machine Learning en Ambientes Productivos,Diplomado,Posgrados y Educacion Continua,Aula Virtual,100 horas,Mensual,o
Dirección Estratégica de Almacenes y Centros de Distribución,Diplomado,Posgrados y Educacion Continua,Presencial en Campus Monterrey,112 horas,Mensual,o
Dirección Estratégica de Almacenes y Centros de Distribución,Diplomado,Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual,o
Dirección Estratégica de Ventas,Diplomado,Posgrados y Educacion Continua,En línea,153 horas,Mensual,o
Dirección Estratégica de Ventas,Diplomado,Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual,o
Dirección Financiera Cooporativa,Diplomado,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual,o
Diseño Regenerativo. Territorios y Ciudades Resilientes,Diplomado,Posgrados y Educacion Continua,Aula Virtual,100 horas,Mensual,o
Diseño de Joyería: De la Marca a la Pieza,Diplomado,Posgrados y Educacion Continua,Aula Virtual,124 horas,Mensual,o
Escalas de la Ciudad: Vivienda; Barrio; Territorio,Diplomado,Posgrados y Educacion Continua,Aula Virtual,104 horas,Mensual,o
Especialización en Management Financiero,Diplomado,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual,o
Estrategia de Negocios,Diplomado,Posgrados y Educacion Continua,Live,100 horas,Mensual,o
Evaluación de Riesgos y Control Interno,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual,o
Finanzas Bursátiles Aplicadas,Diplomado,Posgrados y Educacion Continua,Aula Virtual,152 horas,Mensual,o
Finanzas para Profesionistas no financieros en la Industria,Diplomado,Posgrados y Educacion Continua,Aula Virtual,108 horas,Mensual,o
Fintech & Transformación Digital,Diplomado,Posgrados y Educacion Continua,Aula Virtual,101 horas,Mensual,o
